R       G       B       C
135	167	106	1
140	173	108	1
139	176	99	1
154	176	118	1
106	139	61	1
50	95	40	1
81	122	66	1
142	164	125	1
71	105	54	1
112	152	99	1
79	98	79	1
150	174	137	1
85	118	63	1
64	109	54	1
131	163	89	1
125	164	104	1
70	109	62	1
97	146	69	1
212	241	202	1
196	222	174	1
158	181	141	1
114	144	92	1
123	153	82	1
118	161	95	1
62	97	37	1
65	39	43	2
59	38	40	2
61	35	38	2
59	33	37	2
56	27	32	2
63	35	37	2
57	31	36	2
58	28	32	2
54	39	34	2
59	37	37	2
45	35	29	2
62	31	37	2
36	24	19	2
58	34	33	2
43	26	27	2
60	35	38	2
49	33	34	2
51	31	30	2
51	33	27	2
59	35	39	2
63	34	38	2
53	31	34	2
57	30	35	2
54	33	31	2
78	53	50	2
179	175	102	3
155	160	77	3
139	76	54	3
139	80	60	3
201	185	117	3
221	191	109	3
249	253	120	3
210	219	98	3
232	198	124	3
213	188	119	3
209	188	102	3
180	161	92	3
125	68	43	3
145	142	76	3
132	88	49	3
209	184	113	3
222	198	109	3
223	229	106	3
255	255	183	3
114	56	35	3
210	185	114	3
187	174	91	3
219	198	131	3
153	96	70	3
160	118	66	3
46	34	34	4
43	37	34	4
47	50	34	4
33	25	12	4
4	29	1	4
35	34	34	4
41	31	29	4
6	15	3	4
4	15	0	4
4	17	3	4
22	32	8	4
18	20	11	4
9	30	3	4
16	25	8	4
25	29	23	4
12	29	15	4
14	24	10	4
1	12	1	4
25	22	15	4
15	27	12	4
25	28	18	4
44	45	37	4
34	43	22	4
34	36	23	4
1	5	0	4
